,epoch,training_loss,training_accuracy,training_f1,training_kappa,val_loss,val_accuracy,val_f1,val_kappa
26,27,0.3810318112373352,0.940625,0.940625,0.9338558,1.1957675218582153,0.8639706,0.8639706,0.9338558
27,28,0.19848038256168365,0.928125,0.928125,0.9199288,1.003441572189331,0.8731618,0.8731618,0.9199288
28,29,0.12478871643543243,0.93958336,0.93958336,0.93268657,0.7425657510757446,0.8786765,0.8786765,0.93268657
29,30,0.045732706785202026,0.95208335,0.95208335,0.94661695,0.8018405437469482,0.8694853,0.8694853,0.94661695
30,31,0.29502344131469727,0.9328125,0.9328125,0.92513895,0.6097089648246765,0.88235295,0.88235295,0.92513895
31,32,0.5054969787597656,0.93177086,0.93177086,0.9239809,1.0051363706588745,0.84375,0.84375,0.9239809
32,33,0.16633833944797516,0.93854165,0.93854165,0.9315101,0.7872047424316406,0.8731618,0.8731618,0.9315101
33,34,0.10699444264173508,0.953125,0.953125,0.947783,1.048445701599121,0.84375,0.84375,0.947783
34,35,0.09369354695081711,0.9505208,0.9505208,0.9448725,0.7377153038978577,0.8566176,0.8566176,0.9448725
35,36,0.158029243350029,0.94895834,0.94895834,0.9431381,0.8409382700920105,0.8584559,0.8584559,0.9431381
36,37,0.14749041199684143,0.94739586,0.94739586,0.94139636,0.911986231803894,0.85110295,0.85110295,0.94139636
37,38,0.4532108008861542,0.94427085,0.94427085,0.9379019,0.7846872210502625,0.85110295,0.85110295,0.9379019
38,39,0.03155389800667763,0.9515625,0.9515625,0.94603145,0.36809414625167847,0.88419116,0.88419116,0.94603145
39,40,0.19915999472141266,0.95208335,0.95208335,0.94661236,0.6449993848800659,0.86764705,0.86764705,0.94661236
40,41,0.16858506202697754,0.95729166,0.95729166,0.95241183,0.9937921166419983,0.8768382,0.8768382,0.95241183
41,42,0.027610493823885918,0.96875,0.96875,0.9651746,0.7768258452415466,0.875,0.875,0.9651746
42,43,0.14867743849754333,0.9526042,0.9526042,0.9471909,0.9788542985916138,0.8694853,0.8694853,0.9471909
43,44,0.4090319275856018,0.959375,0.959375,0.95473665,0.5635800957679749,0.88419116,0.88419116,0.95473665
44,45,0.03914178907871246,0.9671875,0.9671875,0.9634428,0.7766711115837097,0.875,0.875,0.9634428
45,46,0.019046250730752945,0.9583333,0.9583333,0.9535776,0.8302594423294067,0.86764705,0.86764705,0.9535776
46,47,0.18977561593055725,0.959375,0.959375,0.9547391,0.8845726847648621,0.8492647,0.8492647,0.9547391
47,48,0.02073090337216854,0.95677084,0.95677084,0.95183307,0.8133141398429871,0.86580884,0.86580884,0.95183307
48,49,0.23658809065818787,0.959375,0.959375,0.9547331,0.9066911339759827,0.86580884,0.86580884,0.9547331
49,50,0.16358992457389832,0.95729166,0.95729166,0.9524185,0.742681622505188,0.8713235,0.8713235,0.9524185
