,epoch,training_loss,training_accuracy,training_f1,training_kappa,val_loss,val_accuracy,val_f1,val_kappa
0,1,1.1030704975128174,0.621875,0.621875,0.5783238,1.3431031703948975,0.6746324,0.6746324,0.5783238
1,2,0.7097087502479553,0.7526042,0.7526042,0.7243371,1.0656224489212036,0.7389706,0.7389706,0.7243371
2,3,0.5777608752250671,0.784375,0.784375,0.75972736,1.1274588108062744,0.7775735,0.7775735,0.75972736
3,4,0.5200480222702026,0.82135415,0.82135415,0.8009938,1.0070774555206299,0.7481618,0.7481618,0.8009938
4,5,0.6507322192192078,0.81822914,0.81822914,0.7974276,1.188932180404663,0.7555147,0.7555147,0.7974276
5,6,0.4152989983558655,0.82395834,0.82395834,0.80382085,0.8464059233665466,0.7775735,0.7775735,0.80382085
6,7,0.3180389702320099,0.85,0.85,0.83289516,0.865807831287384,0.8235294,0.8235294,0.83289516
7,8,0.3662046790122986,0.85052085,0.85052085,0.83343244,0.7747635245323181,0.8088235,0.8088235,0.83343244
8,9,0.38279256224632263,0.84479165,0.84479165,0.8270842,0.597679615020752,0.8069853,0.8069853,0.8270842
9,10,0.16720613837242126,0.89947915,0.89947915,0.887983,0.6497424244880676,0.85110295,0.85110295,0.887983
10,11,0.42744413018226624,0.878125,0.878125,0.8641916,0.9046695828437805,0.8492647,0.8492647,0.8641916
11,12,0.12999872863292694,0.90416664,0.90416664,0.8932249,0.7509824633598328,0.8327206,0.8327206,0.8932249
12,13,0.1339653879404068,0.88958335,0.88958335,0.8770059,1.0099481344223022,0.8308824,0.8308824,0.8770059
13,14,0.16153407096862793,0.9036458,0.9036458,0.89262676,0.8156153559684753,0.85294116,0.85294116,0.89262676
14,15,0.30267882347106934,0.8953125,0.8953125,0.8833354,0.9641324281692505,0.8327206,0.8327206,0.8833354
15,16,0.22008016705513,0.88958335,0.88958335,0.8769598,0.6208139657974243,0.85294116,0.85294116,0.8769598
16,17,0.1789882332086563,0.91197914,0.91197914,0.90196246,0.4663340449333191,0.8694853,0.8694853,0.90196246
17,18,0.10940077155828476,0.91197914,0.91197914,0.9019394,0.5807046890258789,0.83455884,0.83455884,0.9019394
18,19,0.18323175609111786,0.909375,0.909375,0.8990273,0.7208924889564514,0.8566176,0.8566176,0.8990273
19,20,0.48583507537841797,0.91875,0.91875,0.9094706,0.5094309449195862,0.8455882,0.8455882,0.9094706
20,21,0.22931158542633057,0.9109375,0.9109375,0.9007857,0.78983074426651,0.8602941,0.8602941,0.9007857
21,22,0.11893372982740402,0.91875,0.91875,0.9094605,0.4017995595932007,0.8602941,0.8602941,0.9094605
22,23,0.25530874729156494,0.93333334,0.93333334,0.92573225,0.6968900561332703,0.86580884,0.86580884,0.92573225
23,24,0.4633752703666687,0.9166667,0.9166667,0.9071306,0.912307858467102,0.8455882,0.8455882,0.9071306
24,25,0.27975061535835266,0.9244792,0.9244792,0.9158721,0.6546638011932373,0.86764705,0.86764705,0.9158721
25,26,0.029499689117074013,0.95208335,0.95208335,0.9466184,0.7065559029579163,0.86580884,0.86580884,0.9466184
